stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding
4168,"des Roseaux","de Vénus / des Roseaux",46.876752,-71.335313,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4168,0,2
4169,"Morissette","Valcartier / Morissette",46.853602,-71.359936,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4169,0,2
4170,"de l'Acropole","de Vénus / de l'Acropole",46.878198,-71.33199,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4170,0,2
4171,"des Étudiants","de l'Hôpital / des Étudiants",46.851839,-71.36712,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4171,0,2
4172,"la Broussaille","Belle-Arrivée / de la Broussaille",46.833974,-71.320518,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4172,0,2
4173,"des Brumes","de la Broussaille / des Brumes",46.832612,-71.323513,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4173,0,2
4174,"St-Jacques/4174","de la Broussaille / Saint-Jacques",46.830993,-71.327158,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4174,0,2
4175,"Muguet-des-Bois","du Golf / du Muguet-des-Bois",46.85513,-71.376681,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4175,0,2
4176,"Mgr-Cooke","du Golf / Mgr-Cooke",46.853338,-71.379327,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4176,0,2
4177,"du Père-Chabanel","Mgr-Cooke / du Père-Chabanel",46.852169,-71.378049,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4177,0,2
4178,"du Père-Jogues","du Père-Chabanel / du Père-Jogues",46.853136,-71.376307,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4178,0,2
4179,"C.-Garnier","du Père-Chabanel / C.-Garnier",46.853104,-71.373474,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4179,0,2
4180,"des Fr.-Capucins","C.-Garnier / des Frères-Capucins",46.851433,-71.373106,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4180,0,2
4181,"des Étudiants","C.-Garnier / des Étudiants",46.849761,-71.370575,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4181,0,2
4184,"A.-Dion","Verret / A.-Dion",46.84739,-71.367691,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4184,0,2
4185,"Racine","Verret / Racine",46.847749,-71.365507,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4185,0,2
4186,"de l'Hôpital","Racine / de l'Hôpital",46.848869,-71.36365,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4186,0,2
4187,"W.-Caron","Racine / W.-Caron",46.850834,-71.360705,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4187,0,2
4188,"Centre St-Louis","Racine / face au 270",46.851707,-71.35946,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4188,0,2
4189,"Valcartier","Racine / Valcartier",46.852735,-71.357968,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4189,0,2
4190,"W.-Darveau","Racine / W.-Darveau",46.853845,-71.35636,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4190,0,2
4191,"Bastien/4191","Racine / Bastien",46.855422,-71.355978,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4191,0,2
4192,"A.-Duchesneau","Bastien / Chef A.-Duchesneau",46.855952,-71.354951,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4192,0,2
4193,"E.-Picard","Bastien / Chef-O.-Sioui",46.856294,-71.35131,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4193,0,2
4194,"Boisé-des-Chutes","Bastien / Saint-Jacques",46.856379,-71.349449,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4194,0,2
4195,"Valvue","Bastien / Valvue",46.856256,-71.346719,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4195,0,2
4196,"N.-D.-de-Fatima","Bastien / Notre-Dame-de-Fatima",46.856135,-71.344777,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4196,0,2
4197,"de la Colline","Bastien / de la Colline",46.856384,-71.341476,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4197,0,2
4198,"M.-Corriveau","Bastien / Savard",46.858001,-71.338117,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4198,0,2
4199,"T.-Dunn","Bastien / face au 2120",46.858273,-71.335354,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4199,0,2
4200,"St-Charles","Bastien / Saint-Charles",46.857919,-71.333316,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4200,0,2
4201,"M.-Proulx","Bastien / M.-Proulx",46.857222,-71.32899,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4201,0,2
4202,"Roland","Bastien / Roland",46.857175,-71.32676,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4202,0,2
4203,"Élisabeth-II","Bastien / A.-Morin",46.85721,-71.324492,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4203,0,2
4204,"de la Farinière","Bastien / de la Farinière",46.855977,-71.322008,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4204,0,2
4205,"Bastien/4205","Bastien / au 1645",46.855208,-71.318822,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4205,0,2
4206,"Viel","Bastien / Viel",46.854295,-71.315727,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4206,0,2
